timestep,site,spp,count
5,3,spp4,0
5,4,spp4,8
5,5,spp4,31
5,6,spp4,2
5,7,spp4,0
5,8,spp4,0
5,9,spp4,0
5,10,spp4,0
5,11,spp4,0
5,12,spp4,0
5,1,spp5,0
5,2,spp5,0
5,3,spp5,0
5,4,spp5,0
5,5,spp5,0
5,6,spp5,0
5,7,spp5,0
5,8,spp5,100
5,9,spp5,0
5,10,spp5,1
5,11,spp5,45
5,12,spp5,1
6,1,spp1,82
6,2,spp1,97
6,3,spp1,95
6,4,spp1,0
6,5,spp1,0
6,6,spp1,0
6,7,spp1,0
6,8,spp1,0
6,9,spp1,0
6,10,spp1,2
6,11,spp1,17
6,12,spp1,7
6,1,spp2,0
6,2,spp2,0
6,3,spp2,0
6,4,spp2,0
6,5,spp2,0
6,6,spp2,28
6,7,spp2,103
6,8,spp2,0
6,9,spp2,103
6,10,spp2,0
6,11,spp2,0
6,12,spp2,0
6,1,spp3,20
6,2,spp3,5
6,3,spp3,7
6,4,spp3,97
6,5,spp3,75
6,6,spp3,71
6,7,spp3,0
6,8,spp3,0
6,9,spp3,0
6,10,spp3,99
6,11,spp3,57
6,12,spp3,94
6,1,spp4,0
6,2,spp4,0
6,3,spp4,0
6,4,spp4,5
6,5,spp4,27
6,6,spp4,3
6,7,spp4,0
6,8,spp4,0
6,9,spp4,0
6,10,spp4,0
6,11,spp4,0
6,12,spp4,0
6,1,spp5,0
6,2,spp5,0
6,3,spp5,0
6,4,spp5,0
6,5,spp5,0
6,6,spp5,0
6,7,spp5,0
6,8,spp5,101
6,9,spp5,0
6,10,spp5,0
6,11,spp5,29
6,12,spp5,0
7,1,spp1,76
7,2,spp1,100
7,3,spp1,95
7,4,spp1,0
7,5,spp1,0
7,6,spp1,0
7,7,spp1,0
7,8,spp1,0
7,9,spp1,0
7,10,spp1,3
7,11,spp1,15
7,12,spp1,5
7,1,spp2,0
7,2,spp2,0
7,3,spp2,0
7,4,spp2,0
7,5,spp2,0
7,6,spp2,22
7,7,spp2,103
7,8,spp2,0
7,9,spp2,103
7,10,spp2,0
7,11,spp2,0
7,12,spp2,0
7,1,spp3,26
7,2,spp3,2
7,3,spp3,7
7,4,spp3,92
7,5,spp3,74
7,6,spp3,75
7,7,spp3,0
7,8,spp3,0
7,9,spp3,0
7,10,spp3,98
7,11,spp3,63
7,12,spp3,96
7,1,spp4,0
7,2,spp4,0
7,3,spp4,0
7,4,spp4,10
7,5,spp4,28
7,6,spp4,5
7,7,spp4,0
7,8,spp4,0
7,9,spp4,0
7,10,spp4,0
7,11,spp4,0
