timestep,site,spp,count
1,1,spp1,0
1,2,spp1,1
1,3,spp1,0
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,48
1,8,spp1,48
1,9,spp1,48
1,10,spp1,1
1,11,spp1,0
1,12,spp1,1
1,1,spp2,0
1,2,spp2,1
1,3,spp2,0
1,4,spp2,1
1,5,spp2,0
1,6,spp2,1
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,48
1,11,spp2,48
1,12,spp2,48
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,48
1,5,spp4,48
1,6,spp4,48
1,7,spp4,0
1,8,spp4,1
1,9,spp4,0
1,10,spp4,1
1,11,spp4,0
1,12,spp4,1
1,1,spp5,48
1,2,spp5,48
1,3,spp5,48
1,4,spp5,0
1,5,spp5,1
1,6,spp5,0
1,7,spp5,1
1,8,spp5,0
1,9,spp5,1
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,0
2,2,spp1,7
2,3,spp1,0
2,4,spp1,11
2,5,spp1,3
2,6,spp1,0
2,7,spp1,0
2,8,spp1,88
2,9,spp1,0
2,10,spp1,6
2,11,spp1,0
2,12,spp1,9
2,1,spp2,0
2,2,spp2,0
2,3,spp2,0
2,4,spp2,0
2,5,spp2,0
2,6,spp2,1
2,7,spp2,100
2,8,spp2,0
2,9,spp2,99
2,10,spp2,0
2,11,spp2,0
2,12,spp2,0
2,1,spp3,28
2,2,spp3,32
2,3,spp3,13
2,4,spp3,10
2,5,spp3,5
2,6,spp3,9
2,7,spp3,2
2,8,spp3,11
2,9,spp3,3
2,10,spp3,33
2,11,spp3,10
2,12,spp3,33
2,1,spp4,67
2,2,spp4,18
2,3,spp4,1
2,4,spp4,81
2,5,spp4,94
2,6,spp4,92
2,7,spp4,0
2,8,spp4,0
2,9,spp4,0
2,10,spp4,0
2,11,spp4,0
2,12,spp4,1
2,1,spp5,6
2,2,spp5,46
2,3,spp5,87
2,4,spp5,0
2,5,spp5,0
2,6,spp5,0
2,7,spp5,0
2,8,spp5,3
2,9,spp5,0
2,10,spp5,64
2,11,spp5,91
2,12,spp5,60
3,1,spp1,0
3,2,spp1,14
3,3,spp1,1
3,4,spp1,3
3,5,spp1,0
3,6,spp1,0
3,7,spp1,0
3,8,spp1,76
3,9,spp1,0
3,10,spp1,12
3,11,spp1,2
3,12,spp1,17
3,1,spp2,0
3,2,spp2,0
3,3,spp2,0
3,4,spp2,0
3,5,spp2,0
3,6,spp2,1
3,7,spp2,101
3,8,spp2,0
3,9,spp2,101
3,10,spp2,0
3,11,spp2,0
3,12,spp2,0
3,1,spp3,66
3,2,spp3,73
3,3,spp3,23
3,4,spp3,7
3,5,spp3,4
3,6,spp3,13
3,7,spp3,1
3,8,spp3,12
3,9,spp3,1
3,10,spp3,63
3,11,spp3,20
3,12,spp3,65
3,1,spp4,35
3,2,spp4,2
3,3,spp4,1
3,4,spp4,92
3,5,spp4,98
3,6,spp4,88
3,7,spp4,0
3,8,spp4,0
3,9,spp4,0
3,10,spp4,0
3,11,spp4,0
3,12,spp4,0
3,1,spp5,0
3,2,spp5,14
3,3,spp5,76
3,4,spp5,0
3,5,spp5,0
3,6,spp5,0
3,7,spp5,0
3,8,spp5,14
3,9,spp5,0
3,10,spp5,28
3,11,spp5,79
3,12,spp5,21
4,1,spp1,0
4,2,spp1,18
4,3,spp1,5
4,4,spp1,0
4,5,spp1,0
4,6,spp1,0
4,7,spp1,0
4,8,spp1,44
4,9,spp1,0
4,10,spp1,12
4,11,spp1,7
4,12,spp1,22
4,1,spp2,0
4,2,spp2,0
4,3,spp2,0
4,4,spp2,0
4,5,spp2,0
4,6,spp2,0
4,7,spp2,102
4,8,spp2,0
4,9,spp2,102
4,10,spp2,0
4,11,spp2,0
4,12,spp2,0
4,1,spp3,88
4,2,spp3,83
4,3,spp3,36
4,4,spp3,4
