timestep,site,spp,count
5,3,spp4,22
5,4,spp4,39
5,5,spp4,45
5,6,spp4,42
5,7,spp4,4
5,8,spp4,5
5,9,spp4,9
5,10,spp4,3
5,11,spp4,6
5,12,spp4,8
5,1,spp5,30
5,2,spp5,37
5,3,spp5,51
5,4,spp5,15
5,5,spp5,13
5,6,spp5,12
5,7,spp5,9
5,8,spp5,5
5,9,spp5,14
5,10,spp5,45
5,11,spp5,34
5,12,spp5,34
6,1,spp1,13
6,2,spp1,23
6,3,spp1,22
6,4,spp1,36
6,5,spp1,34
6,6,spp1,36
6,7,spp1,41
6,8,spp1,48
6,9,spp1,34
6,10,spp1,12
6,11,spp1,19
6,12,spp1,9
6,1,spp2,12
6,2,spp2,6
6,3,spp2,9
6,4,spp2,4
6,5,spp2,6
6,6,spp2,13
6,7,spp2,41
6,8,spp2,38
6,9,spp2,44
6,10,spp2,43
6,11,spp2,34
6,12,spp2,57
6,1,spp3,2
6,2,spp3,4
6,3,spp3,7
6,4,spp3,5
6,5,spp3,0
6,6,spp3,1
6,7,spp3,5
6,8,spp3,6
6,9,spp3,1
6,10,spp3,2
6,11,spp3,5
6,12,spp3,0
6,1,spp4,44
6,2,spp4,40
6,3,spp4,15
6,4,spp4,41
6,5,spp4,46
6,6,spp4,37
6,7,spp4,6
6,8,spp4,4
6,9,spp4,12
6,10,spp4,8
6,11,spp4,12
6,12,spp4,6
6,1,spp5,30
6,2,spp5,30
6,3,spp5,48
6,4,spp5,16
6,5,spp5,16
6,6,spp5,15
6,7,spp5,9
6,8,spp5,6
6,9,spp5,11
6,10,spp5,38
6,11,spp5,31
6,12,spp5,31
7,1,spp1,17
7,2,spp1,14
7,3,spp1,22
7,4,spp1,41
7,5,spp1,27
7,6,spp1,37
7,7,spp1,45
7,8,spp1,43
7,9,spp1,28
7,10,spp1,14
7,11,spp1,14
7,12,spp1,14
7,1,spp2,18
7,2,spp2,4
7,3,spp2,8
7,4,spp2,4
7,5,spp2,8
7,6,spp2,11
7,7,spp2,38
7,8,spp2,37
7,9,spp2,50
7,10,spp2,45
7,11,spp2,33
7,12,spp2,53
7,1,spp3,3
7,2,spp3,2
7,3,spp3,7
7,4,spp3,9
7,5,spp3,0
7,6,spp3,1
7,7,spp3,0
7,8,spp3,7
7,9,spp3,1
7,10,spp3,0
7,11,spp3,10
7,12,spp3,0
7,1,spp4,33
7,2,spp4,41
7,3,spp4,13
7,4,spp4,28
7,5,spp4,48
7,6,spp4,26
7,7,spp4,7
7,8,spp4,6
7,9,spp4,10
7,10,spp4,10
7,11,spp4,15
7,12,spp4,3
7,1,spp5,30
7,2,spp5,42
7,3,spp5,51
7,4,spp5,20
7,5,spp5,19
7,6,spp5,27
7,7,spp5,12
7,8,spp5,9
7,9,spp5,13
7,10,spp5,34
7,11,spp5,29
7,12,spp5,33
8,1,spp1,18
8,2,spp1,17
8,3,spp1,36
8,4,spp1,40
8,5,spp1,22
8,6,spp1,32
8,7,spp1,48
8,8,spp1,44
8,9,spp1,25
8,10,spp1,14
8,11,spp1,15
8,12,spp1,12
8,1,spp2,16
8,2,spp2,7
8,3,spp2,9
8,4,spp2,4
8,5,spp2,6
8,6,spp2,17
8,7,spp2,29
8,8,spp2,34
8,9,spp2,53
8,10,spp2,45
8,11,spp2,35
8,12,spp2,47
8,1,spp3,1
8,2,spp3,2
8,3,spp3,3
8,4,spp3,9
8,5,spp3,0
8,6,spp3,3
8,7,spp3,0
8,8,spp3,6
8,9,spp3,2
8,10,spp3,1
8,11,spp3,5
8,12,spp3,0
8,1,spp4,27
8,2,spp4,41
8,3,spp4,7
