timestep,site,spp,count
1,1,spp1,48
1,2,spp1,48
1,3,spp1,48
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,1
1,8,spp1,0
1,9,spp1,1
1,10,spp1,0
1,11,spp1,1
1,12,spp1,0
1,1,spp2,1
1,2,spp2,0
1,3,spp2,1
1,4,spp2,48
1,5,spp2,48
1,6,spp2,48
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,0
1,11,spp2,1
1,12,spp2,0
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,0
1,5,spp4,1
1,6,spp4,0
1,7,spp4,1
1,8,spp4,0
1,9,spp4,1
1,10,spp4,48
1,11,spp4,48
1,12,spp4,48
1,1,spp5,0
1,2,spp5,1
1,3,spp5,0
1,4,spp5,1
1,5,spp5,0
1,6,spp5,1
1,7,spp5,48
1,8,spp5,48
1,9,spp5,48
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,52
2,2,spp1,46
2,3,spp1,49
2,4,spp1,54
2,5,spp1,54
2,6,spp1,45
2,7,spp1,1
2,8,spp1,0
2,9,spp1,2
2,10,spp1,0
2,11,spp1,2
2,12,spp1,0
2,1,spp2,1
2,2,spp2,0
2,3,spp2,0
2,4,spp2,38
2,5,spp2,41
2,6,spp2,52
2,7,spp2,53
2,8,spp2,47
2,9,spp2,55
2,10,spp2,0
2,11,spp2,0
2,12,spp2,1
2,1,spp3,4
2,2,spp3,7
2,3,spp3,6
2,4,spp3,8
2,5,spp3,5
2,6,spp3,5
2,7,spp3,4
2,8,spp3,5
2,9,spp3,4
2,10,spp3,4
2,11,spp3,4
2,12,spp3,4
2,1,spp4,45
2,2,spp4,49
2,3,spp4,47
2,4,spp4,0
2,5,spp4,2
2,6,spp4,0
2,7,spp4,0
2,8,spp4,0
2,9,spp4,0
2,10,spp4,45
2,11,spp4,48
2,12,spp4,48
2,1,spp5,0
2,2,spp5,0
2,3,spp5,0
2,4,spp5,2
2,5,spp5,0
2,6,spp5,0
2,7,spp5,45
2,8,spp5,49
2,9,spp5,42
2,10,spp5,52
2,11,spp5,49
2,12,spp5,48
3,1,spp1,49
3,2,spp1,41
3,3,spp1,47
3,4,spp1,58
3,5,spp1,51
3,6,spp1,51
3,7,spp1,2
3,8,spp1,0
3,9,spp1,1
3,10,spp1,0
3,11,spp1,3
3,12,spp1,0
3,1,spp2,0
3,2,spp2,0
3,3,spp2,1
3,4,spp2,38
3,5,spp2,39
3,6,spp2,42
3,7,spp2,51
3,8,spp2,38
3,9,spp2,55
3,10,spp2,0
3,11,spp2,0
3,12,spp2,1
3,1,spp3,4
3,2,spp3,6
3,3,spp3,6
3,4,spp3,3
3,5,spp3,9
3,6,spp3,9
3,7,spp3,3
3,8,spp3,7
3,9,spp3,5
3,10,spp3,8
3,11,spp3,2
3,12,spp3,2
3,1,spp4,49
3,2,spp4,55
3,3,spp4,48
3,4,spp4,0
3,5,spp4,3
3,6,spp4,0
3,7,spp4,0
3,8,spp4,0
3,9,spp4,0
3,10,spp4,41
3,11,spp4,48
3,12,spp4,45
3,1,spp5,0
3,2,spp5,0
3,3,spp5,0
3,4,spp5,3
3,5,spp5,0
3,6,spp5,0
3,7,spp5,47
3,8,spp5,56
3,9,spp5,42
3,10,spp5,52
3,11,spp5,50
3,12,spp5,53
4,1,spp1,54
