timestep,site,spp,count
1,1,spp1,48
1,2,spp1,48
1,3,spp1,48
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,1
1,8,spp1,0
1,9,spp1,1
1,10,spp1,0
1,11,spp1,1
1,12,spp1,0
1,1,spp2,1
1,2,spp2,0
1,3,spp2,1
1,4,spp2,48
1,5,spp2,48
1,6,spp2,48
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,0
1,11,spp2,1
1,12,spp2,0
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,0
1,5,spp4,1
1,6,spp4,0
1,7,spp4,1
1,8,spp4,0
1,9,spp4,1
1,10,spp4,48
1,11,spp4,48
1,12,spp4,48
1,1,spp5,0
1,2,spp5,1
1,3,spp5,0
1,4,spp5,1
1,5,spp5,0
1,6,spp5,1
1,7,spp5,48
1,8,spp5,48
1,9,spp5,48
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,72
2,2,spp1,86
2,3,spp1,93
2,4,spp1,48
2,5,spp1,8
2,6,spp1,0
2,7,spp1,0
2,8,spp1,1
2,9,spp1,0
2,10,spp1,14
2,11,spp1,8
2,12,spp1,16
2,1,spp2,0
2,2,spp2,0
2,3,spp2,0
2,4,spp2,12
2,5,spp2,48
2,6,spp2,74
2,7,spp2,101
2,8,spp2,0
2,9,spp2,99
2,10,spp2,0
2,11,spp2,0
2,12,spp2,0
2,1,spp3,6
2,2,spp3,7
2,3,spp3,5
2,4,spp3,28
2,5,spp3,25
2,6,spp3,21
2,7,spp3,2
2,8,spp3,3
2,9,spp3,4
2,10,spp3,34
2,11,spp3,13
2,12,spp3,27
2,1,spp4,24
2,2,spp4,9
2,3,spp4,0
2,4,spp4,14
2,5,spp4,21
2,6,spp4,7
2,7,spp4,0
2,8,spp4,0
2,9,spp4,0
2,10,spp4,15
2,11,spp4,2
2,12,spp4,18
2,1,spp5,0
2,2,spp5,0
2,3,spp5,4
2,4,spp5,0
2,5,spp5,0
2,6,spp5,0
2,7,spp5,0
2,8,spp5,97
2,9,spp5,0
2,10,spp5,38
2,11,spp5,80
2,12,spp5,40
3,1,spp1,85
3,2,spp1,94
3,3,spp1,92
3,4,spp1,12
3,5,spp1,2
3,6,spp1,0
3,7,spp1,0
3,8,spp1,2
3,9,spp1,0
3,10,spp1,38
3,11,spp1,12
3,12,spp1,40
3,1,spp2,0
3,2,spp2,0
3,3,spp2,0
3,4,spp2,0
3,5,spp2,17
3,6,spp2,59
3,7,spp2,101
3,8,spp2,0
3,9,spp2,102
3,10,spp2,0
3,11,spp2,0
3,12,spp2,0
3,1,spp3,10
3,2,spp3,7
3,3,spp3,5
3,4,spp3,60
3,5,spp3,42
3,6,spp3,30
3,7,spp3,2
3,8,spp3,2
3,9,spp3,1
3,10,spp3,53
3,11,spp3,22
3,12,spp3,49
3,1,spp4,7
3,2,spp4,1
3,3,spp4,0
3,4,spp4,30
3,5,spp4,41
3,6,spp4,13
3,7,spp4,0
3,8,spp4,0
3,9,spp4,0
3,10,spp4,3
3,11,spp4,0
3,12,spp4,3
3,1,spp5,0
3,2,spp5,0
3,3,spp5,5
3,4,spp5,0
3,5,spp5,0
3,6,spp5,0
3,7,spp5,0
3,8,spp5,97
3,9,spp5,0
3,10,spp5,7
3,11,spp5,69
3,12,spp5,9
4,1,spp1,84
