timestep,site,spp,count
1,1,spp1,0
1,2,spp1,1
1,3,spp1,0
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,48
1,8,spp1,48
1,9,spp1,48
1,10,spp1,1
1,11,spp1,0
1,12,spp1,1
1,1,spp2,0
1,2,spp2,1
1,3,spp2,0
1,4,spp2,1
1,5,spp2,0
1,6,spp2,1
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,48
1,11,spp2,48
1,12,spp2,48
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,48
1,5,spp4,48
1,6,spp4,48
1,7,spp4,0
1,8,spp4,1
1,9,spp4,0
1,10,spp4,1
1,11,spp4,0
1,12,spp4,1
1,1,spp5,48
1,2,spp5,48
1,3,spp5,48
1,4,spp5,0
1,5,spp5,1
1,6,spp5,0
1,7,spp5,1
1,8,spp5,0
1,9,spp5,1
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,0
2,2,spp1,2
2,3,spp1,0
2,4,spp1,39
2,5,spp1,41
2,6,spp1,52
2,7,spp1,52
2,8,spp1,50
2,9,spp1,53
2,10,spp1,0
2,11,spp1,0
2,12,spp1,1
2,1,spp2,0
2,2,spp2,0
2,3,spp2,0
2,4,spp2,2
2,5,spp2,0
2,6,spp2,0
2,7,spp2,46
2,8,spp2,47
2,9,spp2,43
2,10,spp2,52
2,11,spp2,48
2,12,spp2,49
2,1,spp3,5
2,2,spp3,7
2,3,spp3,6
2,4,spp3,8
2,5,spp3,5
2,6,spp3,5
2,7,spp3,3
2,8,spp3,3
2,9,spp3,4
2,10,spp3,5
2,11,spp3,4
2,12,spp3,4
2,1,spp4,51
2,2,spp4,47
2,3,spp4,50
2,4,spp4,53
2,5,spp4,54
2,6,spp4,45
2,7,spp4,0
2,8,spp4,2
2,9,spp4,0
2,10,spp4,0
2,11,spp4,0
2,12,spp4,1
2,1,spp5,45
2,2,spp5,47
2,3,spp5,45
2,4,spp5,0
2,5,spp5,2
2,6,spp5,0
2,7,spp5,1
2,8,spp5,0
2,9,spp5,2
2,10,spp5,46
2,11,spp5,49
2,12,spp5,48
3,1,spp1,0
3,2,spp1,2
3,3,spp1,1
3,4,spp1,38
3,5,spp1,39
3,6,spp1,41
3,7,spp1,51
3,8,spp1,57
3,9,spp1,49
3,10,spp1,0
3,11,spp1,1
3,12,spp1,1
3,1,spp2,0
3,2,spp2,0
3,3,spp2,0
3,4,spp2,3
3,5,spp2,0
3,6,spp2,0
3,7,spp2,46
3,8,spp2,38
3,9,spp2,47
3,10,spp2,54
3,11,spp2,47
3,12,spp2,54
3,1,spp3,4
3,2,spp3,6
3,3,spp3,6
3,4,spp3,3
3,5,spp3,8
3,6,spp3,9
3,7,spp3,2
3,8,spp3,3
3,9,spp3,5
3,10,spp3,8
3,11,spp3,3
3,12,spp3,2
3,1,spp4,48
3,2,spp4,50
3,3,spp4,46
3,4,spp4,58
3,5,spp4,52
3,6,spp4,52
3,7,spp4,0
3,8,spp4,4
3,9,spp4,0
3,10,spp4,0
3,11,spp4,0
3,12,spp4,1
3,1,spp5,49
3,2,spp5,45
3,3,spp5,48
3,4,spp5,0
3,5,spp5,3
3,6,spp5,0
3,7,spp5,3
3,8,spp5,0
3,9,spp5,1
3,10,spp5,41
3,11,spp5,50
3,12,spp5,45
4,1,spp1,0
4,2,spp1,1
4,3,spp1,1
4,4,spp1,47
4,5,spp1,41
4,6,spp1,38
4,7,spp1,51
4,8,spp1,54
4,9,spp1,49
4,10,spp1,0
4,11,spp1,1
4,12,spp1,0
4,1,spp2,0
4,2,spp2,0
4,3,spp2,0
4,4,spp2,2
4,5,spp2,0
4,6,spp2,0
4,7,spp2,46
4,8,spp2,42
4,9,spp2,50
4,10,spp2,56
4,11,spp2,45
4,12,spp2,48
4,1,spp3,4
4,2,spp3,5
4,3,spp3,5
4,4,spp3,2
