timestep,site,spp,count
1,1,spp1,48
1,2,spp1,48
1,3,spp1,48
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,1
1,8,spp1,0
1,9,spp1,1
1,10,spp1,0
1,11,spp1,1
1,12,spp1,0
1,1,spp2,1
1,2,spp2,0
1,3,spp2,1
1,4,spp2,48
1,5,spp2,48
1,6,spp2,48
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,0
1,11,spp2,1
1,12,spp2,0
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,0
1,5,spp4,1
1,6,spp4,0
1,7,spp4,1
1,8,spp4,0
1,9,spp4,1
1,10,spp4,48
1,11,spp4,48
1,12,spp4,48
1,1,spp5,0
1,2,spp5,1
1,3,spp5,0
1,4,spp5,1
1,5,spp5,0
1,6,spp5,1
1,7,spp5,48
1,8,spp5,48
1,9,spp5,48
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,44
2,2,spp1,44
2,3,spp1,45
2,4,spp1,50
2,5,spp1,52
2,6,spp1,42
2,7,spp1,2
2,8,spp1,3
2,9,spp1,2
2,10,spp1,3
2,11,spp1,3
2,12,spp1,3
2,1,spp2,4
2,2,spp2,3
2,3,spp2,5
2,4,spp2,38
2,5,spp2,41
2,6,spp2,50
2,7,spp2,50
2,8,spp2,45
2,9,spp2,51
2,10,spp2,1
2,11,spp2,3
2,12,spp2,2
2,1,spp3,5
2,2,spp3,6
2,3,spp3,3
2,4,spp3,4
2,5,spp3,2
2,6,spp3,5
2,7,spp3,6
2,8,spp3,4
2,9,spp3,6
2,10,spp3,4
2,11,spp3,1
2,12,spp3,5
2,1,spp4,47
2,2,spp4,45
2,3,spp4,48
2,4,spp4,7
2,5,spp4,4
2,6,spp4,2
2,7,spp4,3
2,8,spp4,2
2,9,spp4,4
2,10,spp4,48
2,11,spp4,44
2,12,spp4,46
2,1,spp5,2
2,2,spp5,4
2,3,spp5,1
2,4,spp5,3
2,5,spp5,3
2,6,spp5,3
2,7,spp5,42
2,8,spp5,47
2,9,spp5,40
2,10,spp5,45
2,11,spp5,52
2,12,spp5,45
3,1,spp1,45
3,2,spp1,43
3,3,spp1,50
3,4,spp1,50
3,5,spp1,46
3,6,spp1,43
3,7,spp1,5
3,8,spp1,2
3,9,spp1,5
3,10,spp1,0
3,11,spp1,12
3,12,spp1,5
3,1,spp2,5
3,2,spp2,6
3,3,spp2,3
3,4,spp2,38
3,5,spp2,38
3,6,spp2,38
3,7,spp2,43
3,8,spp2,42
3,9,spp2,47
3,10,spp2,7
3,11,spp2,4
3,12,spp2,3
3,1,spp3,4
3,2,spp3,2
3,3,spp3,5
3,4,spp3,5
3,5,spp3,3
3,6,spp3,6
3,7,spp3,5
3,8,spp3,4
3,9,spp3,8
3,10,spp3,3
3,11,spp3,2
3,12,spp3,4
3,1,spp4,45
3,2,spp4,45
3,3,spp4,41
3,4,spp4,8
3,5,spp4,6
3,6,spp4,7
3,7,spp4,5
3,8,spp4,4
3,9,spp4,5
3,10,spp4,48
3,11,spp4,36
3,12,spp4,45
3,1,spp5,3
3,2,spp5,6
3,3,spp5,3
3,4,spp5,1
3,5,spp5,9
3,6,spp5,8
3,7,spp5,45
3,8,spp5,49
3,9,spp5,38
3,10,spp5,43
3,11,spp5,49
3,12,spp5,44
4,1,spp1,40
