timestep,site,spp,count
1,1,spp1,0
1,2,spp1,1
1,3,spp1,0
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,48
1,8,spp1,48
1,9,spp1,48
1,10,spp1,1
1,11,spp1,0
1,12,spp1,1
1,1,spp2,0
1,2,spp2,1
1,3,spp2,0
1,4,spp2,1
1,5,spp2,0
1,6,spp2,1
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,48
1,11,spp2,48
1,12,spp2,48
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,48
1,5,spp4,48
1,6,spp4,48
1,7,spp4,0
1,8,spp4,1
1,9,spp4,0
1,10,spp4,1
1,11,spp4,0
1,12,spp4,1
1,1,spp5,48
1,2,spp5,48
1,3,spp5,48
1,4,spp5,0
1,5,spp5,1
1,6,spp5,0
1,7,spp5,1
1,8,spp5,0
1,9,spp5,1
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,9
2,2,spp1,19
2,3,spp1,8
2,4,spp1,9
2,5,spp1,2
2,6,spp1,0
2,7,spp1,0
2,8,spp1,63
2,9,spp1,0
2,10,spp1,24
2,11,spp1,6
2,12,spp1,24
2,1,spp2,0
2,2,spp2,0
2,3,spp2,0
2,4,spp2,1
2,5,spp2,2
2,6,spp2,5
2,7,spp2,100
2,8,spp2,0
2,9,spp2,98
2,10,spp2,0
2,11,spp2,0
2,12,spp2,0
2,1,spp3,27
2,2,spp3,30
2,3,spp3,14
2,4,spp3,11
2,5,spp3,6
2,6,spp3,11
2,7,spp3,2
2,8,spp3,11
2,9,spp3,4
2,10,spp3,30
2,11,spp3,15
2,12,spp3,30
2,1,spp4,59
2,2,spp4,20
2,3,spp4,1
2,4,spp4,81
2,5,spp4,92
2,6,spp4,86
2,7,spp4,0
2,8,spp4,0
2,9,spp4,0
2,10,spp4,0
2,11,spp4,0
2,12,spp4,2
2,1,spp5,6
2,2,spp5,34
2,3,spp5,78
2,4,spp5,0
2,5,spp5,0
2,6,spp5,0
2,7,spp5,0
2,8,spp5,28
2,9,spp5,0
2,10,spp5,49
2,11,spp5,80
2,12,spp5,47
3,1,spp1,15
3,2,spp1,37
3,3,spp1,12
3,4,spp1,3
3,5,spp1,0
3,6,spp1,0
3,7,spp1,0
3,8,spp1,16
3,9,spp1,0
3,10,spp1,49
3,11,spp1,17
3,12,spp1,47
3,1,spp2,0
3,2,spp2,0
3,3,spp2,0
3,4,spp2,0
3,5,spp2,2
3,6,spp2,7
3,7,spp2,99
3,8,spp2,0
3,9,spp2,101
3,10,spp2,0
3,11,spp2,0
3,12,spp2,0
3,1,spp3,51
3,2,spp3,56
3,3,spp3,28
3,4,spp3,9
3,5,spp3,9
3,6,spp3,19
3,7,spp3,3
3,8,spp3,8
3,9,spp3,1
3,10,spp3,44
3,11,spp3,14
3,12,spp3,46
3,1,spp4,35
3,2,spp4,2
3,3,spp4,1
3,4,spp4,90
3,5,spp4,91
3,6,spp4,76
3,7,spp4,0
3,8,spp4,0
3,9,spp4,0
3,10,spp4,1
3,11,spp4,1
3,12,spp4,1
3,1,spp5,0
3,2,spp5,8
3,3,spp5,60
3,4,spp5,0
3,5,spp5,0
3,6,spp5,0
3,7,spp5,0
3,8,spp5,78
3,9,spp5,0
3,10,spp5,9
3,11,spp5,69
3,12,spp5,9
4,1,spp1,21
4,2,spp1,41
4,3,spp1,24
4,4,spp1,0
4,5,spp1,0
4,6,spp1,0
4,7,spp1,0
4,8,spp1,3
4,9,spp1,0
4,10,spp1,64
4,11,spp1,30
4,12,spp1,50
4,1,spp2,0
4,2,spp2,0
4,3,spp2,0
4,4,spp2,0
4,5,spp2,0
4,6,spp2,6
4,7,spp2,101
4,8,spp2,0
4,9,spp2,102
4,10,spp2,0
4,11,spp2,0
4,12,spp2,0
4,1,spp3,67
4,2,spp3,61
4,3,spp3,26
4,4,spp3,12
